"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2011","1,738.00","1,862.00","1,930.00","1,738.00","","-5.85%"
"11/01/2011","1,846.00","1,912.00","1,912.00","1,759.00","","-6.06%"
"10/01/2011","1,965.00","1,886.00","2,173.00","1,885.00","","3.48%"
"09/01/2011","1,899.00","1,682.00","1,928.00","1,682.00","","17.29%"
"08/01/2011","1,619.00","1,256.00","1,619.00","1,253.00","","28.09%"
"07/01/2011","1,264.00","1,422.00","1,453.00","1,264.00","","-10.54%"
"06/01/2011","1,413.00","1,485.00","1,489.00","1,400.00","","-4.53%"
"05/01/2011","1,480.00","1,292.00","1,480.00","1,271.00","","16.63%"
"04/01/2011","1,269.00","1,520.00","1,520.00","1,250.00","","-17.06%"
"03/01/2011","1,530.00","1,262.00","1,585.00","1,262.00","","22.30%"
"02/01/2011","1,251.00","1,084.00","1,301.00","1,043.00","","13.01%"
"01/01/2011","1,107.00","1,693.00","1,693.00","1,107.00","","-37.56%"
"12/01/2010","1,773.00","2,096.00","2,179.00","1,773.00","","-15.53%"
"11/01/2010","2,099.00","2,648.00","2,648.00","2,099.00","","-21.62%"
"10/01/2010","2,678.00","2,452.00","2,784.00","2,452.00","","9.48%"
"09/01/2010","2,446.00","2,741.00","2,995.00","2,444.00","","-9.84%"
"08/01/2010","2,713.00","1,977.00","2,861.00","1,957.00","","37.93%"
"07/01/2010","1,967.00","2,351.00","2,351.00","1,700.00","","-18.25%"
"06/01/2010","2,406.00","4,074.00","4,074.00","2,406.00","","-41.00%"
"05/01/2010","4,078.00","3,352.00","4,209.00","3,352.00","","21.59%"
"04/01/2010","3,354.00","2,991.00","3,359.00","2,911.00","","11.87%"
"03/01/2010","2,998.00","2,760.00","3,574.00","2,760.00","","9.50%"
"02/01/2010","2,738.00","2,745.00","2,745.00","2,566.00","","-3.86%"
"01/01/2010","2,848.00","3,140.00","3,299.00","2,848.00","","-5.22%"
"12/01/2009","3,005.00","3,836.00","4,107.00","3,005.00","","-22.69%"
"11/01/2009","3,887.00","3,185.00","4,661.00","3,185.00","","25.27%"
"10/01/2009","3,103.00","2,284.00","3,103.00","2,284.00","","39.77%"
"09/01/2009","2,220.00","2,423.00","2,492.00","2,163.00","","-8.30%"
"08/01/2009","2,421.00","3,251.00","3,251.00","2,388.00","","-27.73%"
"07/01/2009","3,350.00","3,742.00","3,742.00","2,975.00","","-10.83%"
"06/01/2009","3,757.00","3,681.00","4,291.00","3,452.00","","7.53%"
"05/01/2009","3,494.00","1,806.00","3,494.00","1,806.00","","95.63%"
"04/01/2009","1,786.00","1,574.00","1,897.00","1,463.00","","10.59%"
"03/01/2009","1,615.00","2,014.00","2,298.00","1,615.00","","-18.68%"
"02/01/2009","1,986.00","1,099.00","2,099.00","1,099.00","","85.61%"
"01/01/2009","1,070.00","773.00","1,070.00","772.00","","38.24%"
