Date,Price,,,,,
3/1/2024,"1,821.00",,,,,
2/1/2024,"2,111.00",,,,,
1/1/2024,"1,398.00",,,,,
12/1/2023,"2,094.00",,,,,
11/1/2023,"2,937.00",,,,,
10/1/2023,"1,459.00",,,,,
9/1/2023,"1,701.00",,,,,
8/1/2023,"1,086.00",,,,,
7/1/2023,"1,127.00",,,,,
6/1/2023,"1,091.00",,,,,
5/1/2023,977,,,,,
4/1/2023,"1,576.00",,,,,
3/1/2023,"1,389.00",,,,,
2/1/2023,990,,,,,
1/1/2023,681,,,,,
12/1/2022,"1,515.00",,,,,
11/1/2022,"1,355.00",,,,,
10/1/2022,"1,463.00",,,,,
9/1/2022,"1,760.00",,,,,
8/1/2022,965,,,,,
7/1/2022,"1,895.00",,,,,
6/1/2022,"2,240.00",,,,,
5/1/2022,"2,566.00",,,,,
4/1/2022,"2,404.00",,,,,
3/1/2022,"2,358.00",,,,,
2/1/2022,"2,040.00",,,,,
1/1/2022,"1,418.00",,,,,
12/1/2021,"2,217.00",,,,,
11/1/2021,"3,018.00",,,,,
10/1/2021,"3,519.00",,,,,
9/1/2021,"5,167.00",,,,,
8/1/2021,"4,132.00",,,,,
7/1/2021,"3,292.00",,,,,
6/1/2021,"3,383.00",,,,,
5/1/2021,"2,596.00",,,,,
4/1/2021,"3,053.00",,,,,
3/1/2021,"2,046.00",,,,,
2/1/2021,"1,675.00",,,,,
1/1/2021,"1,452.00",,,,,
12/1/2020,"1,366.00",,,,,
11/1/2020,"1,227.00",,,,,
10/1/2020,"1,283.00",,,,,
9/1/2020,"1,725.00",,,,,
8/1/2020,"1,488.00",,,,,
7/1/2020,"1,350.00",,,,,
6/1/2020,"1,799.00",,,,,
5/1/2020,504,,,,,
4/1/2020,635,,,,,
3/1/2020,626,,,,,
2/1/2020,535,,,,,
1/1/2020,487,,,,,
12/1/2019,"1,090.00",,,,,
11/1/2019,"1,528.00",,,,,
10/1/2019,"1,731.00",,,,,
9/1/2019,"1,823.00",,,,,
8/1/2019,"2,378.00",,,,,
7/1/2019,"1,868.00",,,,,
6/1/2019,"1,354.00",,,,,
5/1/2019,"1,096.00",,,,,
4/1/2019,"1,011.00",,,,,
3/1/2019,689,,,,,
2/1/2019,658,,,,,
1/1/2019,668,,,,,
12/1/2018,"1,271.00",,,,,
11/1/2018,"1,231.00",,,,,
10/1/2018,"1,490.00",,,,,
9/1/2018,"1,540.00",,,,,
8/1/2018,"1,579.00",,,,,
7/1/2018,"1,747.00",,,,,
6/1/2018,"1,385.00",,,,,
5/1/2018,"1,090.00",,,,,
4/1/2018,"1,341.00",,,,,
3/1/2018,"1,055.00",,,,,
2/1/2018,"1,192.00",,,,,
1/1/2018,"1,152.00",,,,,
12/1/2017,"1,366.00",,,,,
11/1/2017,"1,578.00",,,,,
10/1/2017,"1,522.00",,,,,
9/1/2017,"1,356.00",,,,,
8/1/2017,"1,184.00",,,,,
7/1/2017,946,,,,,
6/1/2017,901,,,,,
5/1/2017,878,,,,,
4/1/2017,"1,109.00",,,,,
3/1/2017,"1,297.00",,,,,
2/1/2017,859,,,,,
1/1/2017,800,,,,,
12/1/2016,961,,,,,
11/1/2016,"1,204.00",,,,,
10/1/2016,857,,,,,
9/1/2016,875,,,,,
8/1/2016,711,,,,,
7/1/2016,656,,,,,
6/1/2016,660,,,,,
5/1/2016,612,,,,,
4/1/2016,703,,,,,
3/1/2016,429,,,,,
2/1/2016,329,,,,,
1/1/2016,317,,,,,
12/1/2015,478,,,,,
11/1/2015,584,,,,,
10/1/2015,721,,,,,
9/1/2015,900,,,,,
8/1/2015,903,,,,,
7/1/2015,"1,131.00",,,,,
6/1/2015,800,,,,,
5/1/2015,589,,,,,
4/1/2015,591,,,,,
3/1/2015,602,,,,,
2/1/2015,540,,,,,
1/1/2015,608,,,,,
12/1/2014,782,,,,,
11/1/2014,"1,153.00",,,,,
10/1/2014,"1,428.00",,,,,
9/1/2014,"1,063.00",,,,,
8/1/2014,"1,147.00",,,,,
7/1/2014,755,,,,,
6/1/2014,850,,,,,
5/1/2014,934,,,,,
4/1/2014,943,,,,,
3/1/2014,"1,362.00",,,,,
2/1/2014,"1,258.00",,,,,
1/1/2014,"1,110.00",,,,,
12/1/2013,"2,277.00",,,,,
11/1/2013,"1,821.00",,,,,
10/1/2013,"1,504.00",,,,,
9/1/2013,"2,003.00",,,,,
8/1/2013,"1,132.00",,,,,
7/1/2013,"1,062.00",,,,,
