month,year,consumer_confidence,dates
January,1978,83.7,1978-01-31
February,1978,84.3,1978-02-28
March,1978,78.8,1978-03-31
April,1978,81.6,1978-04-30
May,1978,82.9,1978-05-31
June,1978,80,1978-06-30
July,1978,82.4,1978-07-31
August,1978,78.4,1978-08-31
September,1978,80.4,1978-09-30
October,1978,79.3,1978-10-31
November,1978,75,1978-11-30
December,1978,66.1,1978-12-31
January,1979,72.1,1979-01-31
February,1979,73.9,1979-02-28
March,1979,68.4,1979-03-31
April,1979,66,1979-04-30
May,1979,68.1,1979-05-31
June,1979,65.8,1979-06-30
July,1979,60.4,1979-07-31
August,1979,64.5,1979-08-31
September,1979,66.7,1979-09-30
October,1979,62.1,1979-10-31
November,1979,63.3,1979-11-30
December,1979,61,1979-12-31
January,1980,67,1980-01-31
February,1980,66.9,1980-02-29
March,1980,56.5,1980-03-31
April,1980,52.7,1980-04-30
May,1980,51.7,1980-05-31
June,1980,58.7,1980-06-30
July,1980,62.3,1980-07-31
August,1980,67.3,1980-08-31
September,1980,73.7,1980-09-30
October,1980,75,1980-10-31
November,1980,76.7,1980-11-30
December,1980,64.5,1980-12-31
January,1981,71.4,1981-01-31
February,1981,66.9,1981-02-28
March,1981,66.5,1981-03-31
April,1981,72.4,1981-04-30
May,1981,76.3,1981-05-31
June,1981,73.1,1981-06-30
July,1981,74.1,1981-07-31
August,1981,77.2,1981-08-31
September,1981,73.1,1981-09-30
October,1981,70.3,1981-10-31
November,1981,62.5,1981-11-30
December,1981,64.3,1981-12-31
January,1982,71,1982-01-31
February,1982,66.5,1982-02-28
March,1982,62,1982-03-31
April,1982,65.5,1982-04-30
May,1982,67.5,1982-05-31
June,1982,65.7,1982-06-30
July,1982,65.4,1982-07-31
August,1982,65.4,1982-08-31
September,1982,69.3,1982-09-30
October,1982,73.4,1982-10-31
November,1982,72.1,1982-11-30
December,1982,71.9,1982-12-31
January,1983,70.4,1983-01-31
February,1983,74.6,1983-02-28
March,1983,80.8,1983-03-31
April,1983,89.1,1983-04-30
May,1983,93.3,1983-05-31
June,1983,92.2,1983-06-30
July,1983,92.8,1983-07-31
August,1983,90.9,1983-08-31
September,1983,89.9,1983-09-30
October,1983,89.3,1983-10-31
November,1983,91.1,1983-11-30
December,1983,94.2,1983-12-31
January,1984,100.1,1984-01-31
February,1984,97.4,1984-02-29
March,1984,101,1984-03-31
April,1984,96.1,1984-04-30
May,1984,98.1,1984-05-31
June,1984,95.5,1984-06-30
July,1984,96.6,1984-07-31
August,1984,99.1,1984-08-31
September,1984,100.9,1984-09-30
October,1984,96.3,1984-10-31
November,1984,95.7,1984-11-30
December,1984,92.9,1984-12-31
January,1985,96,1985-01-31
February,1985,93.7,1985-02-28
March,1985,93.7,1985-03-31
April,1985,94.6,1985-04-30
May,1985,91.8,1985-05-31
June,1985,96.5,1985-06-30
July,1985,94,1985-07-31
August,1985,92.4,1985-08-31
September,1985,92.1,1985-09-30
October,1985,88.4,1985-10-31
November,1985,90.9,1985-11-30
December,1985,93.9,1985-12-31
January,1986,95.6,1986-01-31
February,1986,95.9,1986-02-28
March,1986,95.1,1986-03-31
April,1986,96.2,1986-04-30
May,1986,94.8,1986-05-31
June,1986,99.3,1986-06-30
July,1986,97.7,1986-07-31
August,1986,94.9,1986-08-31
September,1986,91.9,1986-09-30
